SOURCE: https://www.nist.gov/document/2018-04-16frameworkv11core1xlsx
NORMALIZED_UTC: 2026-03-10T05:36:43.459038+00:00
FRAMEWORK: nist_csf

ID.AM-1 | Function: IDENTIFY (ID) | Category: Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization’s risk strategy. | Outcome: ID.AM-1: Physical devices and systems within the organization are inventoried | References: · CIS CSC 1
ID.AM-2 | Function:  | Category:  | Outcome: ID.AM-2: Software platforms and applications within the organization are inventoried | References: · CIS CSC 2
ID.AM-3 | Function:  | Category:  | Outcome: ID.AM-3: Organizational communication and data flows are mapped | References: · CIS CSC 12
ID.AM-4 | Function:  | Category:  | Outcome: ID.AM-4: External information systems are catalogued | References: · CIS CSC 12
ID.AM-5 | Function:  | Category:  | Outcome: ID.AM-5: Resources (e.g., hardware, devices, data, time, personnel, and software) are prioritized based on their classification, criticality, and business value | References: · CIS CSC 13, 14
ID.AM-6 | Function:  | Category:  | Outcome: ID.AM-6: Cybersecurity roles and responsibilities for the entire workforce and third-party stakeholders (e.g., suppliers, customers, partners) are established | References: · CIS CSC 17, 19
ID.BE-1 | Function:  | Category: Business Environment (ID.BE): The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions. | Outcome: ID.BE-1: The organization’s role in the supply chain is identified and communicated | References: · COBIT 5 APO08.01, APO08.04, APO08.05, APO10.03, APO10.04, APO10.05
ID.BE-2 | Function:  | Category:  | Outcome: ID.BE-2: The organization’s place in critical infrastructure and its industry sector is identified and communicated | References: · COBIT 5 APO02.06, APO03.01
ID.BE-3 | Function:  | Category:  | Outcome: ID.BE-3: Priorities for organizational mission, objectives, and activities are established and communicated | References: · COBIT 5 APO02.01, APO02.06, APO03.01
ID.BE-4 | Function:  | Category:  | Outcome: ID.BE-4: Dependencies and critical functions for delivery of critical services are established | References: · COBIT 5 APO10.01, BAI04.02, BAI09.02
ID.BE-5 | Function:  | Category:  | Outcome: ID.BE-5: Resilience requirements to support delivery of critical services are established for all operating states (e.g. under duress/attack, during recovery, normal operations) | References: · COBIT 5 BAI03.02, DSS04.02
ID.GV-1 | Function:  | Category: Governance (ID.GV): The policies, procedures, and processes to manage and monitor the organization’s regulatory, legal, risk, environmental, and operational requirements are understood and inform the management of cybersecurity risk. | Outcome: ID.GV-1: Organizational cybersecurity policy is established and communicated | References: · CIS CSC 19
ID.GV-2 | Function:  | Category:  | Outcome: ID.GV-2: Cybersecurity roles and responsibilities are coordinated and aligned with internal roles and external partners | References: · CIS CSC 19
ID.GV-3 | Function:  | Category:  | Outcome: ID.GV-3: Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed | References: · CIS CSC 19
ID.GV-4 | Function:  | Category:  | Outcome: ID.GV-4: Governance and risk management processes address cybersecurity risks | References: · COBIT 5 EDM03.02, APO12.02, APO12.05, DSS04.02
ID.RA-1 | Function:  | Category: Risk Assessment (ID.RA): The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals. | Outcome: ID.RA-1: Asset vulnerabilities are identified and documented | References: · CIS CSC 4
ID.RA-2 | Function:  | Category:  | Outcome: ID.RA-2: Cyber threat intelligence is received from information sharing forums and sources | References: · CIS CSC 4
